.15:22:45.992 INFO  com.example.Application - Starting Application on life-ThinkPad-E550 with PID 26618 (/home/life/workspace/mygithub/SpringBootDemoFramework/target/classes started by life in /home/life/workspace/mygithub/SpringBootDemoFramework) 
.15:22:45.996 INFO  com.example.Application - The following profiles are active: dev 
.15:22:46.316 INFO  o.s.b.c.e.AnnotationConfigEmbeddedWebApplicationContext - Refreshing org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@2cbb3d47: startup date [Wed Sep 28 15:22:46 CST 2016]; root of context hierarchy 
.15:22:48.874 INFO  o.s.b.f.s.DefaultListableBeanFactory - Overriding bean definition for bean 'mongo' with a different definition: replacing [Root bean: class [null]; scope=; abstract=false; lazyInit=false; autowireMode=3; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=mongoAutoConfiguration; factoryMethodName=mongo; initMethodName=null; destroyMethodName=(inferred); defined in class path resource [com/example/config/MongoAutoConfiguration.class]] with [Root bean: class [null]; scope=; abstract=false; lazyInit=false; autowireMode=3; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=org.springframework.boot.autoconfigure.mongo.MongoAutoConfiguration; factoryMethodName=mongo; initMethodName=null; destroyMethodName=(inferred); defined in class path resource [org/springframework/boot/autoconfigure/mongo/MongoAutoConfiguration.class]] 
.15:22:49.387 INFO  o.s.b.f.a.AutowiredAnnotationBeanPostProcessor - JSR-330 'javax.inject.Inject' annotation found and supported for autowiring 
.15:22:49.484 INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'masterConfig' of type [class com.example.config.MasterConfig$$EnhancerBySpringCGLIB$$d6880d90] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
.15:22:49.490 INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'slaveConfig' of type [class com.example.config.SlaveConfig$$EnhancerBySpringCGLIB$$bcff670f] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
.15:22:49.493 WARN  o.s.b.f.s.DefaultListableBeanFactory - Bean creation exception on non-lazy FactoryBean type check: org.springframework.beans.factory.BeanCreationException: Error creating bean with name 'testMapper' defined in file [/home/life/workspace/mygithub/SpringBootDemoFramework/target/classes/com/example/mapper/TestMapper.class]: Cannot resolve reference to bean 'slaveSqlSessionFactory' while setting bean property 'sqlSessionFactory'; nested exception is org.springframework.beans.factory.BeanCurrentlyInCreationException: Error creating bean with name 'slaveSqlSessionFactory': Requested bean is currently in creation: Is there an unresolvable circular reference? 
.15:22:49.625 WARN  o.s.b.f.s.DefaultListableBeanFactory - Bean creation exception on non-lazy FactoryBean type check: org.springframework.beans.factory.BeanCreationException: Error creating bean with name 'testMapper' defined in file [/home/life/workspace/mygithub/SpringBootDemoFramework/target/classes/com/example/mapper/TestMapper.class]: Cannot resolve reference to bean 'slaveSqlSessionFactory' while setting bean property 'sqlSessionFactory'; nested exception is org.springframework.beans.factory.BeanCurrentlyInCreationException: Error creating bean with name 'slaveSqlSessionFactory': Requested bean is currently in creation: Is there an unresolvable circular reference? 
.15:22:49.627 WARN  o.s.b.f.s.DefaultListableBeanFactory - Bean creation exception on non-lazy FactoryBean type check: org.springframework.beans.factory.BeanCreationException: Error creating bean with name 'testMapper' defined in file [/home/life/workspace/mygithub/SpringBootDemoFramework/target/classes/com/example/mapper/TestMapper.class]: Cannot resolve reference to bean 'slaveSqlSessionFactory' while setting bean property 'sqlSessionFactory'; nested exception is org.springframework.beans.factory.BeanCurrentlyInCreationException: Error creating bean with name 'slaveSqlSessionFactory': Requested bean is currently in creation: Is there an unresolvable circular reference? 
.15:22:49.879 INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'slaveDataSource' of type [class org.apache.tomcat.jdbc.pool.DataSource] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
.15:22:50.221 INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'slaveSqlSessionFactory' of type [class org.apache.ibatis.session.defaults.DefaultSqlSessionFactory] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
.15:22:50.236 INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'hotelDtoMapper' of type [class org.mybatis.spring.mapper.MapperFactoryBean] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
